Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0005,64,60,30,50,-0.189228911,7.172995781,0.63014153
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,64,60,30,50,-0.165846722,8.016877637,0.61771617
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,64,60,30,50,-0.169896103,9.282700422,0.591233214
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-0.19574707,8.016877637,0.641711377
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,64,60,30,50,-0.179266033,7.172995781,0.578272564
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-0.172292835,6.751054852,0.658564583
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,64,60,30,50,-0.196865957,12.23628692,0.608578453
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,64,60,30,50,-0.381641556,8.438818565,0.649743127
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-0.200968158,7.172995781,0.624240218
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-0.177461104,7.594936709,0.611931222
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,64,60,30,50,-0.191798274,6.329113924,0.675262697
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-0.170590147,7.172995781,0.676549284
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.0005,16,60,1,150,0.95247714,55,0.517897127
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.0005,64,60,1,100,0.711869959,27.08333333,0.5126937
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.001,32,60,1,50,0.887516054,26.66666667,0.425924485
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.001,16,60,1,150,0.963196918,70.83333333,0.86249175
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.001,16,60,1,150,0.96458429,68.75,0.36413377
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.0005,16,60,1,150,0.944504987,47.91666667,0.488368198
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.0005,64,60,1,150,0.841306928,30,0.529431803
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.6,0.001,64,60,1,150,0.960563227,63.33333333,0.552934753
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,32,60,1,100,0.772954128,28.75,0.516222525
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0005,64,60,1,150,0.920756979,47.5,0.628676366
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0001,16,60,1,50,0.836336057,29.91803279,0.643724272
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.001,16,60,1,150,0.965361147,68.75,0.360228
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.001,16,60,1,150,0.964296291,66.80327869,0.393140989
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.001,16,60,1,150,0.963732734,65,0.360290312
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,16,60,1,100,0.932799421,54.58333333,0.315624154
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.001,16,60,1,50,0.874170902,24.59016393,0.506358302
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.0001,32,60,1,150,0.887378743,38.33333333,0.386936089
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,1,150,0.958456459,66.66666667,0.527161989
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.001,16,60,1,100,0.939958535,56.66666667,0.536911207
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,32,60,1,50,0.905406882,35.83333333,0.448215836
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,16,60,1,150,0.954095417,57.5,0.43898903
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.001,16,60,1,150,0.964338414,69.58333333,0.418930829
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.001,16,60,1,150,0.963088613,64.58333333,0.520933763
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,16,60,1,150,0.963854228,70.83333333,0.395481512
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,16,60,1,150,0.958318284,59.58333333,0.729040897
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.001,16,60,30,150,-1.051913635,8.860759494,0.650373791
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,64,60,30,100,-2.607778884,8.860759494,0.696211975
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.0001,32,60,30,100,-0.198619862,7.594936709,0.790920471
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0005,16,60,30,150,-1.609323958,13.5021097,0.692495178
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.2,0.001,64,60,30,50,-0.241279742,7.172995781,0.669080544
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0005,16,60,30,100,-1.994299813,13.5021097,0.691513768
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,32,60,30,50,-0.300512809,6.751054852,0.770142437
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.0001,16,60,30,150,-0.618215547,5.485232068,0.588976634
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.001,32,60,30,50,-2.389236816,5.063291139,0.649847173
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,32,60,30,150,-1.425821332,9.282700422,0.678462078
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,32,60,30,100,-0.174334839,6.329113924,0.773870996
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,32,60,30,100,-0.187238401,8.016877637,0.758599275
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,32,60,30,100,-0.139029367,5.809128631,0.883357148
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0001,32,60,30,100,-0.170723334,7.594936709,0.777223692
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0001,32,60,30,100,-0.198666947,9.282700422,0.758599275
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0001,32,60,30,100,-0.193093709,11.81434599,0.621946946
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,64,60,30,100,-0.117142991,9.282700422,0.764640043
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,64,60,30,100,-0.293257894,15.18987342,0.602519565
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0001,64,60,30,100,-0.194111756,6.329113924,0.832212761
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0001,64,60,30,50,-0.476762618,5.907172996,0.833982286
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0005,64,60,30,100,-0.335507571,7.172995781,0.626009593
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0001,32,60,30,100,-0.176629314,5.907172996,0.761435432
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,32,60,30,100,-0.183308095,6.329113924,0.718356792
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,64,60,30,100,-0.16795182,8.860759494,0.810900634
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,64,60,30,100,-0.103272542,11.81434599,0.768731459
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.8,0.0001,32,60,1,50,0.779489495,32.5,0.601519119
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0001,16,60,1,50,0.834312254,35,0.470205808
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.001,32,60,1,150,0.346407693,3.75,0.488368198
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.0005,32,60,1,150,0.946225452,51.66666667,0.660610482
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0005,32,60,1,50,0.78948356,31.25,0.546611444
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.0005,64,60,1,100,0.922914468,45.83333333,0.468282034
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0005,16,60,1,150,0.961388898,71.25,1.03649248
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.0005,32,60,1,150,0.863445572,37.08333333,0.401463011
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.001,32,60,1,100,0.933245586,50.83333333,0.567485008
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0005,64,60,1,50,0.827007627,34.58333333,0.583829607
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0001,16,60,1,150,0.835205411,27.91666667,0.526511722
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0005,16,60,1,150,0.95395521,55,0.528173437
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0005,16,60,1,150,0.961651124,60,0.623938905
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0005,16,60,1,150,0.94946696,54.58333333,0.510151357
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0005,16,60,1,150,0.961613765,68.33333333,0.571505361
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.001,16,60,1,150,0.963923914,63.75,0.478700151
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.001,16,60,1,100,0.961950121,71.66666667,0.623483837
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.2,0.001,16,60,1,100,0.921800372,41.25,0.391027044
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,64,60,1,100,0.653156123,22.91666667,0.459867264
