Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.4,0.0001,64,60,30,50,relu,-0.130616945,12.65822785,0.693294792
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,0.218824796,13.5021097,1.127732795
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,0.307856778,17.29957806,1.003044831
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.3,0.0001,64,60,30,50,relu,-0.031587004,12.65822785,0.790342763
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,100,relu,0.130415785,13.08016878,0.963527224
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,-0.084399558,11.39240506,0.886595151
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0001,64,60,30,50,relu,0.135420789,17.72151899,1.137520698
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,-0.11812715,17.29957806,0.962214054
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,-0.110852171,14.76793249,0.82020333
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0001,64,60,30,50,relu,-0.092815389,15.61181435,0.781282722
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.0001,64,60,30,50,relu,-0.133516284,11.39240506,0.731199068
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.0005,64,60,1,50,leaky_relu,0.763385989,26.25,0.646486496
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.0001,32,60,1,150,leaky_relu,0.568602759,16.66666667,0.62608566
