Trial,Indicators,Window Size,Forecast Window,Model Type,Alpha,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,1.2197072332121779,0.026422907765168778,4.079717129812082,0.9153582756196186,65.83333333333333,0.7571353934296191
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.024140669967625587,3.748891873315131,0.9293484128482707,71.25,0.9133312755293533
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.024140669967625587,3.748891873315131,0.9293484128482707,71.25,0.9133312755293533
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.04147488270915314,0.02233945787457451,3.47876977963556,0.9394981653668322,77.08333333333334,0.8191550632530933
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.008084688199708286,0.04745984097547373,7.172299565142453,0.7269288354975821,40.0,2.0487276658953775
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,4.851720916674469,0.030332651193184543,4.9081728722968565,0.8884565617919206,58.333333333333336,0.8933469464351117
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,9.183576010010228,0.3250129148184052,60.73342972998582,-11.806325087817036,0.0,1.0
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.005143848302310044,0.032512207641839146,4.868492242600557,0.8718507098515136,56.25,1.9312296943589422
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00011212316028584177,0.02083081288190071,3.26773477681798,0.9473939467126958,80.41666666666667,0.7425250176049938
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.024140669967625587,3.748891873315131,0.9293484128482707,71.25,0.9133312755293533
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00012718247005180427,0.020813217123866808,3.2644374239943055,0.947482781694334,80.41666666666667,0.8629604813208048
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00010921200975572342,0.02083508716965129,3.2685467351007182,0.9473723559587147,80.41666666666667,0.8039388070900831
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00014855721281007727,0.020788727029581587,3.259567063325163,0.9476062988746168,80.41666666666667,0.8553248449179535
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0011619966557905631,0.020387951337970407,3.1722486045930283,0.9496069712120347,82.5,1.3855623397377337
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0013649465460730803,0.020522760912658883,3.1901739300321883,0.9489383485934179,82.91666666666667,1.3855623397377337
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0014728555149967925,0.020622669504164824,3.202002325258129,0.9484399833675768,82.5,1.6191781376743046
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.001295317175731366,0.020469013469877468,3.1834877977843576,0.9492054510047587,82.91666666666667,1.3855623397377337
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.06494337036739968,0.3250129148184052,60.73342972998582,-11.806325087817036,0.0,1.0
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0009342660480598474,0.02300384018385582,3.5417619643256146,0.9358459662231611,77.08333333333334,1.1117631705029225
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.024140669967625587,3.748891873315131,0.9293484128482707,71.25,0.9133312755293533
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.2786668120278748,0.3250129148184052,60.73342972998582,-11.806325087817036,0.0,1.0
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0010534490862785827,0.020344392715505064,3.166154779732597,0.9498220694363783,83.33333333333334,1.3505914553365572
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.006883631708428804,0.0411114511499491,6.195530579228902,0.7950967256354564,45.83333333333333,1.9312296943589422
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00041206365780303747,0.020502244794807514,3.198176065824973,0.949040387811096,81.25,1.2790183268879938
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0033000539852624214,0.024912085205887162,3.7484224849470498,0.92476092523976,73.33333333333333,1.7723339303021615
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,2.7716271716964522,0.31121085126121406,59.26517526809142,-12.17110349495893,0.0,1.0
