Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.001,16,60,1,30,"(25, 1)",ReLU,0.02986615008562519,8.11590248884266,0.8925291833204846,34.166666666666664,0.5657228814920139
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.0001,16,60,1,90,"(16, 1)",ReLU,0.03752890700292536,8.667769074289751,0.830307012751186,41.25,0.890754693597949
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.0001,16,60,1,90,"(16, 1)",Tanh,0.04044126854119617,9.260572859422341,0.8029476573077713,39.166666666666664,0.6729334240874572
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.5,0.001,32,60,1,30,"(25, 1)",ReLU,0.04281336859391678,10.78069765228714,0.7791533263384608,30.416666666666664,0.8343729813861275
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.5,0.0001,32,60,1,60,"(16, 1)",Tanh,0.0432840656739652,10.867779264637184,0.774270584346601,27.500000000000004,0.7071846092459807
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.5,0.0001,32,60,1,90,"(16, 1)",Tanh,0.030070122818800355,6.923380388982493,0.8910562132881069,49.166666666666664,0.7043268010288773
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.4,0.0005,32,60,1,30,"(25, 1)",Tanh,0.03748456431887018,8.974624452665797,0.8307077809967511,39.58333333333333,0.646836815138825
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.5,0.001,16,60,1,60,"(25, 1)",ReLU,0.018630781193606456,4.4783689356455065,0.9581790211649358,65.41666666666667,0.7030949267172953
