Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0001,64,60,30,150,relu,-0.346236981,8.860759494,0.769892395
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.220784263,15.18987342,0.848814756
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.343986105,15.18987342,0.715215708
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.27047061,13.08016878,0.775980442
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.461895467,16.03375527,0.842309681
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.523585865,13.92405063,0.705698008
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.3,0.0005,64,60,30,50,leaky_relu,-0.370099731,14.76793249,0.782109461
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.305571601,9.282700422,0.692683211
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.531477563,9.282700422,0.720911633
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,50,leaky_relu,-0.810846738,4.641350211,0.679560209
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.2,0.0005,64,60,30,50,leaky_relu,-0.037742068,21.51898734,0.842743624
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.933615416,48.33333333,0.827256763
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.2,0.001,64,60,1,150,leaky_relu,0.587011244,14.58333333,0.477192996
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.2,0.0001,64,60,1,100,leaky_relu,0.710217167,21.25,0.643568126
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.5,0.0005,64,60,1,100,leaky_relu,0.762822936,26.25,0.69210402
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.2,0.001,32,60,1,150,leaky_relu,0.821626752,29.58333333,0.652753125
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.2,0.001,64,60,1,100,relu,0.848355279,37.08333333,0.371226152
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0001,64,60,1,150,relu,0.773966058,30,0.80578114
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.2,0.0005,32,60,1,150,relu,0.834676324,34.16666667,0.756423974
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.2,0.0005,64,60,1,100,leaky_relu,0.9036824,35.41666667,0.40206436
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.5,0.0001,64,60,1,50,leaky_relu,0.816206511,30.83333333,0.689908031
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.001,32,60,1,50,relu,-0.130190022,1.666666667,0.488368131
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.0005,64,60,1,100,leaky_relu,0.824426877,32.5,0.462004778
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0005,64,60,1,150,leaky_relu,0.938168016,54.58333333,0.726060196
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0005,64,60,1,150,leaky_relu,0.906497211,41.66666667,0.512496376
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.001,32,60,1,150,leaky_relu,0.649833468,8.75,0.490348527
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.899494332,41.66666667,0.56250013
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0005,64,60,1,50,leaky_relu,0.726167443,25.41666667,0.449099188
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.885172237,39.16666667,0.475547009
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0005,32,60,1,150,relu,0.846564738,23.33333333,0.481466984
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,1,150,leaky_relu,0.922414138,47.5,0.918118846
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.001,64,60,1,50,leaky_relu,0.804991951,25.41666667,0.974446926
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,1,150,leaky_relu,0.91433137,46.25,0.858724077
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,1,150,leaky_relu,0.912863658,44.58333333,0.637179526
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,64,60,1,150,leaky_relu,0.926513737,49.16666667,0.740371571
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,64,60,1,150,leaky_relu,0.91568068,43.75,0.607426614
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.5,0.001,64,60,30,100,relu,-0.459143337,11.39240506,0.785103856
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.3,0.001,32,60,30,100,relu,-1.789091257,10.97046414,0.587896027
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.0005,32,60,30,50,relu,-2.220287262,7.172995781,0.650373786
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.001,64,60,30,100,relu,-0.622396009,13.92405063,0.679804073
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.3,0.001,64,60,30,100,leaky_relu,-0.64101641,9.282700422,0.796255983
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0005,64,60,30,50,leaky_relu,-0.399153736,13.92405063,0.744450215
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.3,0.0001,64,60,30,150,leaky_relu,-0.380228459,14.76793249,0.67296802
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0005,32,60,30,100,relu,-2.847484221,2.953586498,0.650373786
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.5,0.0001,32,60,30,50,leaky_relu,-0.771899999,8.438818565,0.67393604
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.4,0.0001,32,60,30,100,leaky_relu,-0.488519616,13.92405063,0.70548167
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.3,0.0001,64,60,30,150,leaky_relu,-0.495156547,10.97046414,0.702982763
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.2,0.0005,64,60,30,150,leaky_relu,-0.741412365,8.860759494,0.638765477
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0005,64,60,30,150,leaky_relu,-0.460554337,9.70464135,0.708840119
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,50,leaky_relu,-0.429937748,15.18987342,0.730853634
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.3,0.0001,64,60,30,150,leaky_relu,-0.429825097,13.5021097,0.696100619
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0005,64,60,30,50,leaky_relu,-1.176854614,10.54852321,0.702773667
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,150,leaky_relu,-0.363837762,10.54852321,0.694936709
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,64,60,30,150,leaky_relu,-0.636862752,10.54852321,0.65492369
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,150,leaky_relu,-0.533182384,7.594936709,0.850058052
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.3,0.0001,64,60,30,150,leaky_relu,-0.511141897,14.34599156,0.825164401
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,30,150,leaky_relu,-0.566205991,9.70464135,0.772034839
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0005,64,60,30,50,leaky_relu,-0.282005438,15.61181435,0.781947328
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,50,leaky_relu,-0.312446257,9.282700422,0.891306246
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0005,64,60,30,50,leaky_relu,-0.730292841,12.23628692,0.732098529
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,50,leaky_relu,-0.206776849,11.81434599,0.787841447
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0005,64,60,1,150,relu,0.773500404,31.25,0.705846756
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.2,0.0005,32,60,1,100,leaky_relu,0.906449748,44.58333333,0.611337405
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,64,60,1,50,leaky_relu,0.650382182,22.5,0.47423192
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.3,0.0001,32,60,1,150,relu,0.753897504,30.41666667,0.654443942
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.2,0.0001,32,60,1,150,leaky_relu,0.646651279,32.08333333,0.713720858
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.2,0.0001,64,60,1,100,leaky_relu,0.871815677,37.08333333,0.658297799
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0001,64,60,1,150,relu,0.74183488,27.08333333,0.67254677
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.5,0.001,32,60,1,50,relu,0.736951181,30,0.877860869
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,32,60,1,100,leaky_relu,0.741988808,30.41666667,0.532975409
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,64,60,1,100,relu,0.810835389,31.25,0.853008938
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.001,32,60,1,100,leaky_relu,0.717903526,22.91666667,0.459265884
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.2,0.0001,64,60,1,100,leaky_relu,0.890584767,42.5,0.662541523
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.2,0.0005,32,60,1,100,leaky_relu,0.865505579,34.16666667,0.352352234
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.3,0.0001,64,60,1,100,leaky_relu,0.844135733,35.83333333,0.585114551
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.5,0.001,32,60,1,100,leaky_relu,0.693257416,17.5,0.431829855
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.2,0.0005,64,60,1,100,leaky_relu,0.853671186,36.25,0.642464082
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.4,0.0001,32,60,1,50,leaky_relu,0.829079418,35.41666667,0.886873687
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,64,60,1,100,leaky_relu,0.893791463,40,0.968486586
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,32,60,1,100,leaky_relu,0.926294218,49.58333333,1.050394768
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,32,60,1,50,leaky_relu,0.880221645,42.08333333,0.406620849
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.4,0.0005,32,60,1,100,leaky_relu,0.831164873,34.16666667,0.443990409
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,32,60,1,100,leaky_relu,0.792366612,22.5,0.468338884
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,32,60,1,100,leaky_relu,0.899744887,41.66666667,0.389810076
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,32,60,1,100,leaky_relu,0.929121549,49.58333333,1.018924499
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.4,0.0005,32,60,1,100,leaky_relu,0.908531017,42.08333333,1.027981514
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.0001,32,60,30,50,relu,-0.826107247,5.485232068,0.664565565
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.2,0.0001,64,60,30,100,leaky_relu,-0.627016248,7.172995781,0.662818895
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.5,0.001,64,60,30,150,relu,-0.930482878,5.907172996,0.623189786
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.2,0.0005,64,60,30,150,leaky_relu,-1.339348203,8.860759494,0.60007041
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.4,0.001,64,60,30,50,leaky_relu,-1.288806956,8.016877637,0.68075968
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.001,32,60,30,50,leaky_relu,-2.300320064,4.219409283,0.660203917
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.5,0.001,32,60,30,50,leaky_relu,-0.535661251,12.23628692,0.660279339
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.0005,32,60,30,50,leaky_relu,-2.454404033,1.687763713,0.654023413
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.309519461,10.97046414,0.869128184
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.2,0.0005,32,60,30,50,leaky_relu,-1.37550792,3.797468354,0.630422657
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,64,60,30,100,relu,-0.620832408,5.907172996,0.766103763
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,32,60,30,50,leaky_relu,-0.606095048,7.172995781,0.793693628
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.4,0.001,32,60,30,50,leaky_relu,-0.736869319,6.751054852,0.658794537
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.001,64,60,30,50,leaky_relu,-0.307839477,12.65822785,0.74861907
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,64,60,30,150,relu,-0.333463546,12.23628692,0.984335472
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.001,64,60,30,100,leaky_relu,-0.698538265,8.860759494,0.710978341
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.196093334,9.70464135,0.953815403
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.3,0.001,64,60,30,50,leaky_relu,-1.032057251,7.594936709,0.678258848
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.4,0.0001,64,60,30,100,relu,-0.379505721,7.594936709,0.952184054
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0005,64,60,30,150,leaky_relu,-0.72328112,9.70464135,0.733650844
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.001,64,60,30,50,leaky_relu,-0.673578837,7.594936709,0.718954476
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.575431635,10.97046414,0.941330543
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.48235154,5.485232068,0.824807329
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.560109707,7.172995781,0.984953704
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,64,60,30,50,leaky_relu,-0.25629952,9.70464135,0.900653512
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.3,0.0005,64,60,1,50,leaky_relu,0.900286805,49.58333333,0.83552672
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,3,0.4,0.0005,32,60,1,100,relu,0.609750935,10,0.499715985
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.4,0.0005,64,60,1,100,relu,0.911330301,45.83333333,0.649098344
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.2,0.0001,32,60,1,50,leaky_relu,0.880861299,43.33333333,0.603986152
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.5,0.0005,32,60,1,150,leaky_relu,0.617549165,5,0.481466984
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.4,0.0005,32,60,1,50,leaky_relu,0.183675547,3.75,0.437039945
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.5,0.001,64,60,1,50,leaky_relu,0.54423349,24.16666667,0.50473557
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,3,0.5,0.0005,64,60,1,150,relu,0.773883832,26.25,0.592354989
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.5,0.001,64,60,1,50,leaky_relu,0.743602708,21.25,0.513824067
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.3,0.001,32,60,1,100,relu,0.686139768,21.66666667,0.563749176
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.2,0.0001,64,60,1,100,relu,0.889073711,44.16666667,0.87905371
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,2,0.3,0.0005,64,60,1,100,relu,0.906556581,42.08333333,0.803028926
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,2,0.3,0.0005,64,60,1,100,relu,0.81142095,24.58333333,0.432833132
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,2,0.4,0.0005,64,60,1,100,relu,0.796341571,25.83333333,0.469379578
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.3,0.0005,64,60,1,100,relu,0.907317093,46.66666667,0.339467706
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,64,60,1,100,relu,0.91277912,49.58333333,0.992221559
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,64,60,1,100,relu,0.93083876,52.5,0.645791885
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.4,0.0001,64,60,1,150,relu,0.868484939,37.08333333,0.592515191
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,64,60,1,100,relu,0.902720225,43.75,0.567187912
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,64,60,1,100,relu,0.920552752,50.83333333,0.682201458
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.5,0.0001,64,60,1,150,relu,0.856867727,37.91666667,0.781996565
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,64,60,1,100,relu,0.916755238,47.91666667,0.857734168
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,64,60,1,100,relu,0.918335848,49.58333333,0.810439183
23,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,64,60,1,100,relu,0.926965194,50.83333333,0.814359518
