Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.001,64,60,30,150,0.236140018,16.87763713,0.878580207
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0001,64,60,30,50,0.388769919,23.20675105,1.164414696
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0001,64,60,30,50,0.430465015,20.67510549,1.027190364
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0001,64,60,30,50,0.339119633,12.65822785,0.854408196
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.0001,64,60,30,50,0.413890036,22.78481013,1.233713162
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0001,64,60,30,50,0.355774748,13.5021097,0.94768631
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0001,16,60,1,100,0.60235507,20.41666667,0.725852778
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,32,60,1,150,0.757466155,36.25,0.608257545
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,64,60,1,100,0.613724472,17.08333333,0.61113957
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.0005,64,60,1,100,0.846085281,42.91666667,0.782090445
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,32,60,1,100,0.709467738,34.58333333,0.737863823
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.948097938,63.75,0.445358558
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.0005,64,60,1,50,0.83209116,35.83333333,0.837795628
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.2,0.001,32,60,1,100,0.874203906,37.5,0.521510157
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,32,60,1,100,0.820496427,23.33333333,0.591208577
