Trial,Indicators,Window Size,Forecast Window,Model Type,Alpha,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.020556690387866044,2.2872841759279905,0.7679320364272924,89.45147679324894,1.7493634605309272
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0043725793378836956,0.03523973721036917,4.077716442544178,0.31801609732692415,70.042194092827,1.0320016956392146
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.020556690387866044,2.2872841759279905,0.7679320364272924,89.45147679324894,1.7493634605309272
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.1617441482431104,0.3682311968634031,55.61836279299662,-73.46461708865542,0.0,1.0
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.020556690387866044,2.2872841759279905,0.7679320364272924,89.45147679324894,1.7493634605309272
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.020556690387866044,2.2872841759279905,0.7679320364272924,89.45147679324894,1.7493634605309272
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.004028935752662444,0.03304521072360052,3.818657893642991,0.40031131742415627,73.83966244725738,1.0320016956392146
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0009448336429158827,0.01969420493078036,2.1186290426957353,0.7869970064824418,90.71729957805907,0.9893820072777849
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0008648424792540839,0.01772720257147155,1.8940827941758025,0.8274204959824132,93.24894514767934,0.9818331982783655
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.020556690387866044,2.2872841759279905,0.7679320364272924,89.45147679324894,1.7493634605309272
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.00022559253770000102,0.01987688641597346,2.143699654369938,0.7830270900641647,90.71729957805907,1.00036597792302
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0001098504137795404,0.019950626049407245,2.1540959439844407,0.7814142438536391,89.87341772151899,1.002677750550196
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,5.360718136870531,0.03245509171701119,3.3746767360314873,0.4215384684354888,79.74683544303798,0.9361845448090546
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0023357517044356275,0.01956406970006298,2.101667949090928,0.7898026655536324,90.71729957805907,0.9081990870337441
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.03601172894068471,0.17734927902341238,26.361993507924105,-16.27299535055085,0.42194092827004215,1.0
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.002595624931486329,0.019549450933434454,2.0993875913865168,0.7901166776972013,90.29535864978902,0.9081990870337441
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.033691333600269595,0.16522625340063968,24.466948760641255,-13.992253320015667,0.42194092827004215,1.0
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0006032904670779166,0.017416882313540622,1.8415409368256492,0.8334097284242674,92.40506329113924,1.0081931012267231
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0003952441685685951,0.017296411377487903,1.8193120589588279,0.8357063366131203,93.24894514767934,1.0083385408814671
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0004214502427148107,0.017303489855424244,1.8214250463406012,0.8355718362232076,93.24894514767934,0.9862889636110218
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.8487015213201136,0.3682311968634031,55.61836279299662,-73.46461708865542,0.0,1.0
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00036385686086134366,0.017288916602376025,1.8184233570805948,0.835848687214443,93.24894514767934,0.994672108826438
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0003016282949242766,0.017279406928710724,1.8186339514556602,0.8360292186075295,94.09282700421942,1.1236826150705983
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00010859486885701903,0.017274895296220342,1.8228711485441997,0.8361148325791842,93.67088607594937,1.030197148369462
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00017798622842921078,0.017291765936737577,1.8216052531850897,0.8357945761872807,93.67088607594937,0.9994933403459738
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.00041425185505906134,0.14623725081631644,17.461273990487015,-14.390037794944776,27.77777777777778,0.9398717415235703
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.14588853950125028,17.400243279311372,-14.316728406177784,23.504273504273502,1.0073312787570228
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.2721263976435659,0.35757366349053277,54.35995262761728,-91.01416863622569,0.0,1.0
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.14588853950125028,17.400243279311372,-14.316728406177784,23.504273504273502,1.0073312787570228
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.0031021295204025183,0.14543064433415576,17.406919400462613,-14.220731153829014,27.350427350427353,0.9092433946239549
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.004670219840075762,0.14509782404756738,17.399114098991113,-14.151145110482979,27.77777777777778,0.90101988843364
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.0003267166744008675,0.11722219484008888,14.20548956954399,-8.88879459299898,24.358974358974358,1.0075094330552887
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.14588853950125028,17.400243279311372,-14.316728406177784,23.504273504273502,1.0073312787570228
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.6848495116152726,0.1391925657542703,17.337730860711066,-12.94298432398358,26.06837606837607,1.0164780537751275
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.0006178312280940736,0.14615818897432933,17.453780306516194,-14.373401324919175,27.350427350427353,0.9398717415235703
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.0001436451960125476,0.1239340254161755,15.348636088626295,-10.053626107800515,26.06837606837607,1.0075094330552887
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.00010930010816173959,0.12682598219807786,15.81435039339939,-10.575509806048007,24.786324786324787,1.0075094330552887
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.02147328628227959,0.08967224936651919,12.753551829202664,-4.786817500760687,5.128205128205128,1.2118824039822542
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.07026334245711258,0.35757366349053277,54.35995262761728,-91.01416863622569,0.0,1.0
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,9.495931231526978,0.35757366349053277,54.35995262761728,-91.01416863622569,0.0,1.0
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.008959160910091747,0.07917907724013211,8.046216508796164,-3.5117448444473753,51.70940170940172,1.1265202565334296
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.01364862658534552,0.0739905613863299,8.991279304968094,-2.939819300015972,34.18803418803419,1.0753231706783082
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.006497533714349478,0.08594347404798772,8.423324699809749,-4.3155654309068785,57.692307692307686,1.1209377311040296
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.035418007687971036,0.157107345862255,22.857308597451684,-16.76301334468763,2.9914529914529915,1.0
