Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,0.9602145535659724,97.08333333333333,0.8377437055812559
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,-0.17438558918586722,21.940928270042196,1.0458666900725786
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",5,1,0.9711150243791757,97.5609756097561,0.7667446619308785
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,0.956213211931922,95.83333333333334,0.7394559351499509
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,30,-0.25526993352274796,20.675105485232066,0.9640943761060403
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",5,1,0.9711502782070278,97.5609756097561,0.8174501171369157
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,1,0.9588684722990416,96.66666666666667,0.6332924691967933
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,30,-0.08809253085288082,25.31645569620253,0.9158993411373983
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",5,1,0.9710866378859798,97.15447154471545,0.8368047133397389
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,1,0.9587195183467848,96.25,0.8145141892007588
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,30,-0.4590605908793106,16.877637130801688,0.8301490483911058
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",5,1,0.9710590061187956,97.96747967479675,0.8325189226835666
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,1,0.9587247583516668,96.66666666666667,0.8617288197352795
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,30,-0.06712420569560917,21.518987341772153,1.0681060542325338
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",5,1,0.9705635484070856,97.15447154471545,0.8204278635647039
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,1,0.9562132119317246,95.83333333333334,0.7394559351499509
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,30,-0.255269933528002,20.675105485232066,0.9640943761060403
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",5,1,0.9711502782070277,97.5609756097561,0.8174501171369157
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,1,0.9588684722988529,96.66666666666667,0.6332924691967933
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,30,-0.08809253083773227,25.31645569620253,0.9158993411373983
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",5,1,0.9710866378859799,97.15447154471545,0.8368047133397389
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,1,0.9587195183469834,96.25,0.8145141892007588
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,30,-0.45906059093158835,16.877637130801688,0.8301490483911058
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",5,1,0.9710590061187956,97.96747967479675,0.8325189226835666
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,1,0.9587247583517325,96.66666666666667,0.8617288197352795
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,30,-0.06712420567255939,21.518987341772153,1.0681060542325338
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",5,1,0.9705635484070854,97.15447154471545,0.8204278635647039
"20MA, 50MA, RSI, MACD, CCI, ATR",60,1,0.9582527510579537,95.83333333333334,0.6097477210112127
"20MA, 50MA, RSI, MACD, CCI, ATR",60,30,-0.20119549153447935,26.160337552742618,0.8692262133120384
"20MA, 50MA, RSI, MACD, CCI, ATR",5,1,0.9710213611510051,97.15447154471545,0.790954367026996
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",60,1,0.9589759862822456,95.83333333333334,0.7042386255860897
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",60,30,-0.3018682783544735,21.518987341772153,0.9390824452522436
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",5,1,0.9710938023297524,97.96747967479675,0.8172447590778225
"20MA, 50MA, RSI, MACD, CCI, OBV",60,1,0.9586885121841002,95.41666666666667,0.773585767718702
"20MA, 50MA, RSI, MACD, CCI, OBV",60,30,-0.0896455593868426,24.894514767932492,1.0269591275737076
"20MA, 50MA, RSI, MACD, CCI, OBV",5,1,0.9709850975649906,97.5609756097561,0.695756408074564
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",60,1,0.9593914442764321,96.25,0.7910971975854727
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",60,30,-0.43259281153155427,23.628691983122362,0.8283008615306681
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",5,1,0.9709617306163739,97.5609756097561,0.8713940602421755
