Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.5,0.0005,64,60,30,150,leaky_relu,-7.442811759,21.79487179,1.013280435
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.001,64,60,30,150,leaky_relu,-10.78665421,9.401709402,1.009989365
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0005,64,60,30,150,leaky_relu,-9.033338086,22.22222222,1.033986265
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.0005,64,60,30,150,leaky_relu,-13.75789569,13.67521368,1.007509566
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.001,64,60,30,150,relu,-22.50522587,6.837606838,1.007509566
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.0001,64,60,30,150,leaky_relu,-13.96327046,8.547008547,1.007509566
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.5,0.0005,64,60,30,150,leaky_relu,-16.23612871,13.67521368,1.007509566
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.0005,64,60,30,100,leaky_relu,-15.54280923,10.68376068,1.007509566
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.0005,64,60,30,100,leaky_relu,-12.19561818,7.264957265,1.048895806
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.5,0.0005,64,60,30,100,leaky_relu,-12.67484501,13.24786325,1.007509566
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.3,0.0005,64,60,30,150,leaky_relu,-10.63104576,7.264957265,1.198395731
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.0005,32,60,1,50,leaky_relu,-9.231765883,10.12658228,0.820935155
