Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.2,0.0005,64,60,30,100,leaky_relu,-0.524463094,13.5021097,0.820011336
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.4,0.0001,32,60,30,50,leaky_relu,-2.440919633,8.016877637,0.852015315
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,150,relu,0.012201856,25.3164557,1.026177362
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,150,relu,0.27908633,33.75527426,1.321948167
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,150,relu,0.097222961,27.00421941,1.164539473
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.3,0.0005,32,60,30,50,leaky_relu,0.30765521,28.27004219,1.323323799
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.3,0.0005,32,60,30,50,leaky_relu,-0.066726378,19.83122363,1.469942955
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0001,32,60,30,50,leaky_relu,-1.951609818,9.282700422,0.760894483
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.0005,32,60,30,50,leaky_relu,0.221844164,27.00421941,1.106826098
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.3,0.0005,64,60,30,50,leaky_relu,-0.343425646,13.08016878,0.748446246
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0001,32,60,30,50,leaky_relu,-0.773526538,16.4556962,0.794967027
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.2,0.0005,32,60,30,50,leaky_relu,0.084236582,23.62869198,1.12726901
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,150,relu,-0.003338602,18.56540084,1.129805295
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,150,relu,-0.456450146,21.09704641,1.086732557
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.3,0.0005,32,60,30,100,relu,-0.1024488,11.39240506,1.218455568
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,32,60,30,50,leaky_relu,0.333876148,18.56540084,1.32080306
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.001,64,60,1,50,leaky_relu,0.731933824,41.66666667,0.981081351
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0005,64,60,1,50,relu,0.45135149,27.5,0.644761826
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.4,0.001,32,60,1,50,relu,-0.491091437,12.91666667,1.094477453
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.001,64,60,1,50,relu,0.815087046,51.66666667,1.662838473
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.4,0.001,32,60,1,50,relu,0.763408029,36.66666667,1.35572513
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.2,0.0001,64,60,1,100,leaky_relu,0.150770551,16.66666667,0.747795493
