Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,32,60,30,150,0.231077992,21.51898734,1.096455975
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0001,16,60,30,50,-0.063649628,18.98734177,0.87851244
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,16,60,30,50,0.304994803,22.3628692,1.474492846
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,16,60,30,50,0.294060933,23.62869198,1.162641735
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,16,60,30,50,0.312330269,24.05063291,1.305735042
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0005,16,60,30,50,0.320770666,25.3164557,1.294131214
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,16,60,1,150,0.837535219,39.16666667,0.546681381
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,64,60,1,150,0.913369952,69.16666667,1.239088532
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.0005,64,60,1,50,0.800643056,42.91666667,0.835585526
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.0001,64,60,1,150,0.816927944,43.33333333,0.747542169
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.001,16,60,1,100,0.747400426,27.91666667,0.594791874
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,100,0.925025396,72.08333333,0.854901372
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.001,32,60,1,100,0.797052003,42.08333333,1.17508768
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.0001,16,60,1,150,0.904761584,65.83333333,0.854984213
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.001,16,60,1,150,0.073889452,17.5,0.737854294
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,32,60,1,50,0.882005649,59.58333333,1.162981775
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,1,100,0.861234067,49.58333333,0.980430478
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,64,60,1,100,0.915782076,65.41666667,0.840590019
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,100,0.877620837,51.66666667,1.019446866
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,64,60,1,100,0.929204767,70,0.987260828
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0005,64,60,1,100,-0.690458988,13.75,0.755662383
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.0001,64,60,1,100,0.863157098,49.58333333,0.927991622
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,32,60,1,100,0.891056876,60.83333333,1.187711928
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,64,60,1,50,0.916108325,68.75,1.118219359
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.6,0.0005,64,60,1,100,0.650899178,45,0.894646924
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.0001,32,60,1,100,0.769730005,40,1.667947592
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.001,64,60,1,50,0.775057647,38.33333333,0.826007881
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,64,60,1,50,0.818983178,43.33333333,0.878428791
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,50,0.920423397,70,0.789178197
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.001,64,60,1,50,0.785071258,39.16666667,0.84018515
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,50,0.849735629,47.08333333,0.986443946
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,32,60,30,150,-0.115660283,15.18987342,0.883324287
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.0001,32,60,30,50,0.067951256,20.25316456,1.161315266
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0005,64,60,30,50,-0.854530864,17.29957806,0.88700821
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,16,60,30,150,0.14150374,20.67510549,1.086423251
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,16,60,30,150,0.202618858,20.67510549,1.20825896
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.0001,32,60,30,50,-0.191048085,16.03375527,1.042178581
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,50,0.102877314,18.14345992,1.109191349
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0001,32,60,30,100,-0.795769608,15.18987342,1.372388854
