Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.8,0.0005,32,60,1,150,"(25, 1)",Tanh,0.028784998299152417,4.4552175340622915,0.8995486618520361,63.33333333333333,1.3226426035127004
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.4,0.001,64,60,30,100,"(16, 1)",Tanh,0.09668433908288628,18.281812931796555,-0.27123248564923164,16.455696202531644,1.1816924420951005
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.8,0.0005,16,60,30,150,"(16, 1)",Tanh,0.07741375952963081,14.095515752967106,0.1850160892863546,15.611814345991561,1.0176890453078014
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.5,0.001,32,60,30,50,"(25, 1)",ReLU,0.07213429274835913,12.7989044061803,0.29238623428746147,16.033755274261605,1.1820169821060067
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.6000000000000001,0.001,64,60,30,100,"(25, 1)",ReLU,0.08857873422729733,16.76019885235145,-0.06701778157761629,18.143459915611814,1.3361143026255589
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.2,0.0005,32,60,30,150,"(25, 1)",ReLU,0.08714682238904072,16.406090844735616,-0.032799048655339336,16.033755274261605,1.2708980036937985
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.5,0.0001,64,60,30,100,"(25, 1)",Tanh,0.0890014984703634,16.970884169440613,-0.07722730772309139,18.143459915611814,1.3735162966019785
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.7,0.0001,64,60,30,100,"(25, 1)",Tanh,0.09160195721918453,17.36543743815718,-0.14109610554991003,18.143459915611814,1.3361143026255589
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.8,0.0001,64,60,30,150,"(16, 1)",ReLU,0.09516896702982665,17.994820197913,-0.23169570729301592,17.29957805907173,1.3033406803003396
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.5,0.0001,64,60,30,50,"(25, 1)",ReLU,0.08980735842375284,17.001502547281365,-0.0968230319086345,18.143459915611814,1.3361143026255589
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.4,0.0005,32,60,30,50,"(25, 1)",Sigmoid,0.19148324038533063,28.981670020188783,-3.9862523426333842,15.18987341772152,1.5030904616854224
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.2,0.001,32,60,30,50,"(16, 1)",Sigmoid,0.2867231386334067,54.19963931851063,-10.179907259043624,0.0,1.0
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.8,0.0005,16,60,30,150,"(16, 1)",Tanh,0.08057530111423122,14.722268622679898,0.11708968394751185,15.18987341772152,1.0513966783804456
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.6000000000000001,0.001,16,60,30,150,"(16, 1)",ReLU,0.08214784262561678,14.378281185125354,0.08229089248018906,19.40928270042194,1.221128612343663
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.4,0.0005,16,60,30,50,"(16, 1)",Tanh,0.07774571752702268,14.379098723513358,0.1780116373425884,16.033755274261605,1.150074715075275
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.7,0.001,32,60,30,150,"(25, 1)",Sigmoid,0.09229828741064712,17.175998400514878,-0.1585105750708975,18.143459915611814,1.34643128135734
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.30000000000000004,0.0005,16,60,30,50,"(16, 1)",ReLU,0.07543682215728928,13.451791039010516,0.2261095506563524,15.18987341772152,1.2758783243760152
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.30000000000000004,0.0005,32,60,30,50,"(25, 1)",ReLU,0.07500252687586605,13.978927205211583,0.23499458832181142,18.143459915611814,1.1308401092548104
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.30000000000000004,0.001,32,60,30,50,"(25, 1)",ReLU,0.08870930102487352,15.989734136241815,-0.07016571034366592,16.033755274261605,1.0528333986583853
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.30000000000000004,0.0005,32,60,30,50,"(25, 1)",ReLU,0.0810569224479505,15.17211594358108,0.10650333072679008,15.18987341772152,1.1225268964355253
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.6000000000000001,0.001,32,60,30,50,"(25, 1)",ReLU,0.09218689620632557,16.96967477837303,-0.1557159399728425,17.72151898734177,1.2198449669553082
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.4,0.001,32,60,30,50,"(25, 1)",ReLU,0.08196604405932639,15.058769837925206,0.08634829880395467,16.033755274261605,1.0877533547782707
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.30000000000000004,0.0005,16,60,30,50,"(16, 1)",ReLU,0.07805205188090471,14.26014188969468,0.17152126434904058,16.033755274261605,1.0108568112835292
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.2,0.0005,16,60,30,50,"(25, 1)",ReLU,0.08472418618555401,15.210445568744516,0.023825342496553326,16.877637130801688,1.0753340089961283
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.30000000000000004,0.0005,32,60,30,50,"(16, 1)",ReLU,0.08979222708411062,16.742198524658942,-0.09645346300072943,17.72151898734177,1.2897343378849941
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0005,32,60,30,50,"(25, 1)",ReLU,0.07945103924699454,14.705461908067688,0.14155617403622,15.611814345991561,1.1344573114401555
