Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"50MA, RSI, MACD, CCI, Williams_%R, OBV",5,1,0.9712654934707032,98.3739837398374,1.0632468712280458
"50MA, RSI, MACD, CCI, ATR, Williams_%R",5,1,0.9713935075508728,98.3739837398374,1.0117409506517294
"50MA, RSI, MACD, Lower_BB, CCI, ATR",5,1,0.9716002075909318,98.3739837398374,0.998142794138726
"RSI, MACD, Upper_BB, CCI, ATR, Williams_%R",5,1,0.9713878704992422,98.3739837398374,0.9930809753304346
"50MA, RSI, MACD, Lower_BB, CCI, Williams_%R",5,1,0.9714525076913222,98.3739837398374,0.9642400203071032
