Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, 50MA, RSI, Upper_BB, Lower_BB, Williams_%R",5,1,0.9730691560639064,99.1769547325103,1.1874673861602751
"50MA, RSI, Upper_BB, CCI, ATR, Williams_%R",5,1,0.9726129219099588,99.1769547325103,1.165360647302612
"RSI, MACD, Upper_BB, CCI, Williams_%R, OBV",5,1,0.9726207885222348,99.1769547325103,1.1640421808717831
"MACD, Upper_BB, CCI, ATR, Williams_%R, OBV",5,1,0.9723428824535568,99.1769547325103,1.1587736799149184
"20MA, 50MA, RSI, Upper_BB, CCI, Williams_%R",5,1,0.9729733769476188,99.1769547325103,1.1544486538102503
"20MA, 50MA, RSI, MACD, CCI, ATR",60,30,0.0434315189077081,65.1063829787234,0.9418989028446364
"20MA, RSI, Upper_BB, Lower_BB, CCI, OBV",60,30,0.173694822928014,63.82978723404256,0.9743241242270114
"20MA, 50MA, RSI, Upper_BB, Lower_BB, CCI",60,30,0.088645553145198,62.97872340425532,0.9004129837328421
"RSI, MACD, Upper_BB, CCI, ATR, OBV",60,30,0.2711327237904005,62.12765957446808,0.9059547861403902
"20MA, RSI, MACD, Upper_BB, CCI, ATR",60,30,0.1699611621278832,62.12765957446808,0.8556657079146031
