Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
11,"20MA, 50MA, RSI, MACD, ATR, Williams_%R",64,2,2,0.4,0.0005,64,5,1,100,leaky_relu,0.859923655,87.80487805,0.949233655
3,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",128,2,2,0.2,0.0005,64,5,1,100,leaky_relu,0.868851728,87.39837398,0.926364976
17,"50MA, MACD, Upper_BB, Lower_BB, Williams_%R, OBV",128,3,2,0.2,0.0005,64,60,1,150,leaky_relu,0.871426902,85.83333333,1.077392896
23,"20MA, 50MA, RSI, MACD, CCI, Williams_%R",128,3,2,0.2,0.0001,32,5,1,150,relu,0.862240169,85.36585366,0.984635442
24,"20MA, 50MA, RSI, Upper_BB, ATR, Williams_%R",64,3,2,0.4,0.0005,32,5,1,150,relu,0.854790304,84.95934959,1.102072458
11,"RSI, Upper_BB, Lower_BB, CCI, Williams_%R, OBV",32,2,3,0.2,0.0001,64,60,30,50,relu,0.108079746,45.56962025,1.041660247
18,"50MA, RSI, MACD, CCI, Williams_%R, OBV",32,3,3,0.3,0.0001,64,60,30,50,relu,0.010833668,40.50632911,1.471371388
24,"50MA, RSI, Lower_BB, ATR, Williams_%R, OBV",32,2,2,0.3,0.0001,64,60,30,100,relu,0.038119892,38.8185654,1.023581137
