Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
11,"20MA, 50MA, Upper_BB, Lower_BB, Williams_%R, OBV",64,0.4,0.0005,32,5,1,150,0.971248757,89.71193416,1.017778474
23,"50MA, RSI, MACD, CCI, Williams_%R, OBV",64,0.5,0.0005,32,5,1,150,0.970815026,89.71193416,0.939193026
22,"20MA, RSI, MACD, Lower_BB, Williams_%R, OBV",32,0.8,0.0005,32,5,1,150,0.971389951,89.30041152,1.304687728
22,"20MA, 50MA, MACD, CCI, Williams_%R, OBV",128,0.7,0.001,64,5,1,150,0.972614582,89.30041152,1.262945868
10,"20MA, 50MA, RSI, Upper_BB, CCI, ATR",64,0.3,0.0005,32,5,1,150,0.970980247,89.30041152,1.219705675
15,"20MA, RSI, Upper_BB, Lower_BB, Williams_%R, OBV",32,0.6,0.001,16,60,30,100,0.529624376,44.25531915,1.25084855
23,"20MA, RSI, Upper_BB, CCI, ATR, OBV",128,0.7,0.001,64,60,30,100,0.434266446,42.55319149,1.039887775
11,"50MA, RSI, Upper_BB, Lower_BB, ATR, OBV",64,0.3,0.001,32,60,30,150,0.505549183,42.55319149,1.038529589
5,"20MA, 50MA, RSI, ATR, Williams_%R, OBV",64,0.3,0.0005,16,60,30,150,0.499019419,42.12765957,1.012070501
24,"20MA, MACD, Lower_BB, ATR, Williams_%R, OBV",32,0.4,0.001,16,60,30,100,0.504999675,41.70212766,1.417610934
