Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
21,"20MA, RSI, Lower_BB, CCI, ATR, Williams_%R",128,3,2,0.4,0.001,64,5,1,150,leaky_relu,0.940578768,86.7219917,1.031842645
24,"20MA, RSI, Lower_BB, CCI, ATR, OBV",128,2,2,0.3,0.0005,32,5,1,150,relu,0.943181449,85.47717842,1.09833124
13,"20MA, RSI, Lower_BB, CCI, ATR, OBV",128,2,2,0.3,0.0005,32,5,1,150,relu,0.939775673,85.06224066,0.886447124
18,"50MA, MACD, CCI, ATR, Williams_%R, OBV",64,3,2,0.2,0.001,64,5,1,150,leaky_relu,0.935779313,84.6473029,1.001218417
24,"50MA, RSI, MACD, CCI, ATR, Williams_%R",64,2,2,0.2,0.0005,64,5,1,150,leaky_relu,0.93793784,84.6473029,0.878601131
