Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
22,"20MA, RSI, MACD, Upper_BB, ATR, Williams_%R",64,0.7,0.001,64,60,1,150,0.936234691,95.35864979,1.680298116
23,"50MA, RSI, MACD, Upper_BB, Lower_BB, Williams_%R",64,0.2,0.001,16,60,1,150,0.933101966,95.35864979,1.416463842
18,"50MA, RSI, MACD, Upper_BB, Lower_BB, Williams_%R",128,0.3,0.001,16,60,1,150,0.931687601,94.93670886,1.232343317
22,"20MA, 50MA, Upper_BB, Lower_BB, ATR, Williams_%R",64,0.6,0.001,16,60,1,150,0.926329912,94.51476793,1.949682016
21,"20MA, 50MA, MACD, Upper_BB, ATR, Williams_%R",128,0.4,0.001,16,60,1,150,0.931823555,94.51476793,1.681192785
10,"50MA, Lower_BB, CCI, ATR, Williams_%R, OBV",32,0.2,0.0001,64,60,30,150,0.390468425,47.00854701,1.341624617
20,"50MA, MACD, Lower_BB, CCI, ATR, OBV",32,0.5,0.0001,64,60,30,150,0.41133821,45.72649573,1.329935996
21,"20MA, 50MA, CCI, ATR, Williams_%R, OBV",32,0.3,0.0001,64,60,30,50,0.466218613,45.2991453,1.435399322
21,"50MA, Lower_BB, CCI, ATR, Williams_%R, OBV",32,0.4,0.0001,64,60,30,150,0.389657415,44.87179487,1.350348002
16,"50MA, MACD, Lower_BB, CCI, ATR, OBV",32,0.4,0.0001,64,60,30,150,0.381100283,44.44444444,1.347493639
