Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
XOM,"20MA, 50MA, 200MA, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,7.103930198,6.385944986,0.725481353,31.1409396,,
XOM,"20MA, 50MA, 200MA, ROC, OBV",32,3,0.2,0.001,16,100,adam,4.052981855,3.411994349,0.910643984,76.10738255,,
XOM,"20MA, 50MA, 200MA, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,13.07184102,12.24561702,0.070503,1.879194631,,
XOM,"20MA, 50MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,4.235758654,3.585215677,0.902402905,70.73825503,,
XOM,"20MA, 50MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,4.348141472,3.563640529,0.897155325,75.16778523,,
XOM,"20MA, 50MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,5.975233005,5.090271528,0.805784374,55.03355705,,
XOM,"20MA, 50MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,5.947043246,4.886606296,0.80761258,61.20805369,,
XOM,"20MA, 50MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,4.894831008,4.067620091,0.869668353,65.77181208,,
XOM,"20MA, 50MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,3.953116709,3.345809123,0.914993184,76.91275168,,
XOM,"20MA, 50MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,6.693444629,5.928743316,0.756289731,43.22147651,,
XOM,"20MA, 50MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,4.931831065,4.166912728,0.867690551,66.7114094,,
XOM,"20MA, 50MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,5.611189187,4.603718038,0.828728815,61.0738255,,
XOM,"20MA, 50MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,5.982975184,5.012072746,0.805280753,57.31543624,,
XOM,"20MA, 50MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,5.951666726,4.927935647,0.807313323,57.31543624,,
XOM,"20MA, 50MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,6.107656719,5.370206957,0.797080531,48.99328859,,
XOM,"20MA, 50MA, RSI, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,33.0617452,30.19796481,-4.946015366,0.268456376,,
XOM,"20MA, 50MA, RSI, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,8.381971466,7.545411563,0.617820987,23.89261745,,
XOM,"20MA, 50MA, RSI, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,5.582246563,4.646092541,0.830491099,61.34228188,,
XOM,"20MA, 50MA, RSI, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,4.804024767,4.066870284,0.874459182,66.84563758,,
XOM,"20MA, 50MA, RSI, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,3.84706271,3.236226473,0.919493118,78.79194631,,
XOM,"20MA, 50MA, RSI, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,4.655325557,3.837293146,0.882110645,70.20134228,,
XOM,"20MA, 50MA, RSI, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,5.409174201,4.573568634,0.84083909,55.30201342,,
XOM,"20MA, 50MA, RSI, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,5.060231737,4.203332271,0.860711491,66.17449664,,
XOM,"20MA, 50MA, RSI, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,4.214514524,3.594678253,0.903379432,74.4966443,,
XOM,"20MA, 50MA, RSI, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,6.372769528,5.293001297,0.779082102,54.09395973,,
XOM,"20MA, 50MA, RSI, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,5.999816444,5.116892021,0.804182994,55.97315436,,
XOM,"20MA, 50MA, RSI, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,3.941977242,3.344015538,0.915471589,77.04697987,,
XOM,"20MA, 50MA, RSI, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,6.626577864,5.570971578,0.761134686,56.6442953,,
XOM,"20MA, 50MA, RSI, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,4.405179689,3.777558774,0.894439428,71.67785235,,
XOM,"20MA, 50MA, RSI, CCI, ATR",32,3,0.2,0.001,16,100,adam,5.461950019,4.64394755,0.837718161,60.80536913,,
XOM,"20MA, 50MA, RSI, CCI, ROC",32,3,0.2,0.001,16,100,adam,4.922200079,4.097842557,0.8682068,65.77181208,,
XOM,"20MA, 50MA, RSI, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,4.843838105,4.039719266,0.872369722,67.38255034,,
XOM,"20MA, 50MA, RSI, CCI, OBV",32,3,0.2,0.001,16,100,adam,4.123678106,3.519300814,0.907499519,71.40939597,,
XOM,"20MA, 50MA, RSI, ATR, ROC",32,3,0.2,0.001,16,100,adam,5.84788874,5.089570946,0.813974414,50.73825503,,
XOM,"20MA, 50MA, RSI, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,10.55047447,9.617983512,0.394493988,21.34228188,,
XOM,"20MA, 50MA, RSI, ATR, OBV",32,3,0.2,0.001,16,100,adam,5.064436943,4.215629466,0.860479889,65.23489933,,
XOM,"20MA, 50MA, RSI, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,4.078923118,3.397246056,0.90949647,75.83892617,,
XOM,"20MA, 50MA, RSI, ROC, OBV",32,3,0.2,0.001,16,100,adam,4.244579049,3.660991841,0.901996016,73.02013423,,
XOM,"20MA, 50MA, RSI, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,9.744774037,8.731674122,0.48344327,18.65771812,,
XOM,"20MA, 50MA, MACD, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,4.720780779,3.798684637,0.878772222,70.73825503,,
XOM,"20MA, 50MA, MACD, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,4.471726482,3.646799241,0.89122604,72.34899329,,
XOM,"20MA, 50MA, MACD, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,5.18618571,4.260402964,0.853691147,65.63758389,,
XOM,"20MA, 50MA, MACD, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,3.800867333,3.154245229,0.921414956,80.40268456,,
XOM,"20MA, 50MA, MACD, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,4.20086411,3.495641598,0.904004308,75.30201342,,
XOM,"20MA, 50MA, MACD, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,4.730435982,3.938414093,0.878275831,67.7852349,,
XOM,"20MA, 50MA, MACD, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,4.177571402,3.390096996,0.905065899,76.10738255,,
XOM,"20MA, 50MA, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,4.179576364,3.458838346,0.904974753,74.89932886,,
XOM,"20MA, 50MA, MACD, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,7.239055769,6.311571151,0.71493866,29.66442953,,
XOM,"20MA, 50MA, MACD, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,4.920642488,4.155864085,0.868290196,63.75838926,,
XOM,"20MA, 50MA, MACD, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,3.452823795,2.894514886,0.93514801,82.41610738,,
XOM,"20MA, 50MA, MACD, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,5.914326931,5.185885426,0.809723509,52.48322148,,
XOM,"20MA, 50MA, MACD, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,3.699962244,3.07059767,0.925532108,81.20805369,,
XOM,"20MA, 50MA, MACD, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,4.808086794,3.948492181,0.874246791,68.05369128,,
XOM,"20MA, 50MA, MACD, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,3.665738325,3.014639752,0.926903363,81.47651007,,
XOM,"20MA, 50MA, MACD, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,5.006607709,4.062486133,0.863647971,68.05369128,,
XOM,"20MA, 50MA, MACD, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,4.440656982,3.633075873,0.892732309,71.67785235,,
XOM,"20MA, 50MA, MACD, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,4.409019091,3.586412874,0.894255342,73.95973154,,
XOM,"20MA, 50MA, MACD, CCI, ATR",32,3,0.2,0.001,16,100,adam,4.739010178,3.937972961,0.877834167,71.54362416,,
XOM,"20MA, 50MA, MACD, CCI, ROC",32,3,0.2,0.001,16,100,adam,7.225625101,6.17258029,0.715995431,37.71812081,,
XOM,"20MA, 50MA, MACD, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,9.915836637,9.019730114,0.465148517,15.30201342,,
XOM,"20MA, 50MA, MACD, CCI, OBV",32,3,0.2,0.001,16,100,adam,4.952255224,4.00866863,0.866592417,69.39597315,,
XOM,"20MA, 50MA, MACD, ATR, ROC",32,3,0.2,0.001,16,100,adam,4.386803835,3.640958728,0.895318266,72.2147651,,
XOM,"20MA, 50MA, MACD, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,5.387464848,4.683187659,0.842114089,59.73154362,,
XOM,"20MA, 50MA, MACD, ATR, OBV",32,3,0.2,0.001,16,100,adam,5.885901907,5.124321981,0.811548101,49.79865772,,
XOM,"20MA, 50MA, MACD, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,6.374058958,5.512253046,0.778992694,46.30872483,,
XOM,"20MA, 50MA, MACD, ROC, OBV",32,3,0.2,0.001,16,100,adam,3.997481564,3.213910969,0.913074456,79.32885906,,
