Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
5681.KL,"20MA, 50MA, 200MA, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,0.7299998,2.900697419,0.709440313,86.43835616,,
5681.KL,"20MA, 50MA, 200MA, ATR, OBV",32,3,0.2,0.001,16,100,adam,0.626652883,2.400779124,0.785886545,90.54794521,,
5681.KL,"20MA, 50MA, 200MA, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,0.810205624,3.138224009,0.642084602,81.78082192,,
5681.KL,"20MA, 50MA, 200MA, ROC, OBV",32,3,0.2,0.001,16,100,adam,0.802571758,3.181576448,0.648797481,80.54794521,,
5681.KL,"20MA, 50MA, 200MA, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,0.732402948,2.910657792,0.707524129,85.34246575,,
5681.KL,"20MA, 50MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,0.629774471,2.340066061,0.783748076,89.45205479,,
5681.KL,"20MA, 50MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,0.759842108,3.097934236,0.685198647,82.32876712,,
5681.KL,"20MA, 50MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,0.788301978,3.061884178,0.661175264,82.46575342,,
5681.KL,"20MA, 50MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,0.740293568,2.838578846,0.701188142,84.24657534,,
5681.KL,"20MA, 50MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,0.747426702,2.896168879,0.695401967,85.89041096,,
5681.KL,"20MA, 50MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,0.798881999,3.027352874,0.652019309,83.28767123,,
5681.KL,"20MA, 50MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,0.726423515,2.743231758,0.712280256,86.71232877,,
5681.KL,"20MA, 50MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,0.555264848,2.132536549,0.831891282,90.54794521,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,0.647659785,2.505093077,0.771290745,90,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,0.736180131,2.79808266,0.704499609,84.65753425,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,0.711800143,2.629237745,0.723747626,86.57534247,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,0.658426861,2.522594115,0.763623142,89.31506849,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,0.659245102,2.504447349,0.763035276,88.49315068,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,0.654215942,2.398980992,0.766636934,88.63013699,,
5681.KL,"20MA, 50MA, RSI, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,0.67863711,2.56222757,0.748889377,87.26027397,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,0.802127822,3.18895093,0.649185903,81.50684932,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,0.77386731,2.946708906,0.673470158,84.10958904,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,0.868492666,3.363044344,0.588734587,77.53424658,,
