Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
AAPL,"20MA, 50MA, 200MA, ATR, OBV",32,3,0.2,0.001,16,100,adam,15.87311331,7.803826441,0.712844537,42.01342282,,
AAPL,"20MA, 50MA, 200MA, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,17.93430137,7.880998704,0.633425901,30.60402685,,
AAPL,"20MA, 50MA, 200MA, ROC, OBV",32,3,0.2,0.001,16,100,adam,8.119384895,3.910582762,0.924865551,74.22818792,,
AAPL,"20MA, 50MA, 200MA, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,20.47132517,9.210380622,0.522377516,20.40268456,,
AAPL,"20MA, 50MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,10.4730199,4.711833307,0.874992317,55.97315436,,
AAPL,"20MA, 50MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,21.12379506,10.49146965,0.491446392,9.261744966,,
AAPL,"20MA, 50MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,13.5566832,6.188255223,0.790540654,44.69798658,,
AAPL,"20MA, 50MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,9.13387633,4.442007596,0.90491695,66.17449664,,
AAPL,"20MA, 50MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,10.81000108,5.34126082,0.866818371,58.25503356,,
AAPL,"20MA, 50MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,17.33520531,8.018910562,0.657507687,31.54362416,,
AAPL,"20MA, 50MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,21.71701085,10.81297867,0.462482082,9.932885906,,
AAPL,"20MA, 50MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,11.65761513,5.657532898,0.84511396,54.36241611,,
AAPL,"20MA, 50MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,7.206022258,3.347831899,0.940818762,75.83892617,,
AAPL,"20MA, 50MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,9.696972262,4.424898253,0.892831993,66.44295302,,
AAPL,"20MA, 50MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,13.66839665,5.913069602,0.787074343,43.22147651,,
AAPL,"20MA, 50MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,11.55461545,5.619866532,0.847838829,51.94630872,,
