Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy
JPM,"20MA, 50MA, 200MA, ROC, OBV",32,3,0.2,0.001,16,100,adam,21.94864713,11.77608087,0.680447571,13.82550336
JPM,"20MA, 50MA, 200MA, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,18.7120507,9.288025145,0.767742695,22.68456376
JPM,"20MA, 50MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,22.21447428,10.59270477,0.672660292,20
JPM,"20MA, 50MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,26.29306237,11.66109128,0.5414265,20
JPM,"20MA, 50MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,22.36287153,9.976654894,0.668272292,23.89261745
JPM,"20MA, 50MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,5.913536518,3.076401456,0.976803569,82.55033557
JPM,"20MA, 50MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,9.298084407,4.138205244,0.94265262,67.7852349
JPM,"20MA, 50MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,16.01765644,7.37953925,0.829813714,35.16778523
JPM,"20MA, 50MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,10.9206198,5.358280593,0.920891858,48.45637584
JPM,"20MA, 50MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,18.64567922,8.313480075,0.769387402,30.60402685
JPM,"20MA, 50MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,23.45928391,9.499904743,0.634946839,35.03355705
JPM,"20MA, 50MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,24.16274519,10.51866497,0.612725271,26.97986577
JPM,"20MA, 50MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,12.91595207,5.997134985,0.889342855,42.55033557
JPM,"20MA, 50MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,10.45334059,4.592891842,0.927516891,62.28187919
JPM,"20MA, 50MA, RSI, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,20.98208591,9.09245937,0.707972378,31.00671141
JPM,"20MA, 50MA, RSI, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,12.70905264,5.698986245,0.892859673,44.96644295
JPM,"20MA, 50MA, RSI, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,28.41515917,13.93713317,0.464416983,10.06711409
JPM,"20MA, 50MA, RSI, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,21.9155844,10.02097117,0.681409572,24.29530201
JPM,"20MA, 50MA, RSI, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,9.313858943,4.332843923,0.942457871,62.14765101
JPM,"20MA, 50MA, RSI, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,10.03179133,5.006633448,0.933245032,54.09395973
JPM,"20MA, 50MA, RSI, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,16.53210161,7.231855466,0.818706287,37.58389262
